label,value,color,style
Triple,3,#000000,triple
Aromatic,1,#666666,aromatic
Hydrogen,1,#FFFFFF,dashed
Ionic,1,#FF0000,dotted
Coordinate,2,#FF6600,dashed
Metallic,1,#FFD700,solid
VanDerWaals,1,#CCCCCC,dotted
Pi,1,#FF00FF,dashed
Sigma,1,#0000FF,solid
Delta,3,#00FF00,dashed
Backbone,1,#808080,solid
SideChain,1,#FFA500,dashed
Disulfide,2,#FFFF00,solid
Peptide,1,#FF1493,solid
Glycosidic,1,#00CED1,dashed
Phosphodiester,2,#9370DB,solid
Ester,1,#FF69B4,dashed
Ether,1,#87CEEB,dashed
Amide,1,#DDA0DD,solid
Imine,2,#F08080,dashed
Enamine,1,#98FB98,dashed
Hydrazone,2,#EE82EE,dashed
Oxime,1,#F5DEB3,dashed
Azide,3,#FF4500,dashed
Diazo,2,#DA70D6,dashed
Nitroso,1,#FFB6C1,dashed
Nitro,2,#DC143C,solid
Sulfonyl,2,#4682B4,solid
Sulfoxide,1,#6495ED,dashed
Sulfone,2,#4169E1,solid
Phosphate,3,#B22222,solid
Sulfate,2,#8B4513,solid
Carbonate,2,#2F4F4F,solid
Carboxylate,1,#8B0000,dashed
Aldehyde,1,#D2691E,dashed
Ketone,1,#CD853F,dashed
Carboxyl,1,#A0522D,dashed
Acid,1,#800000,dashed
Alcohol,1,#000080,dashed
Phenol,1,#483D8B,dashed
Enol,1,#6A5ACD,dashed
Thiol,1,#B8860B,dashed
Thioether,1,#DAA520,dashed
DisulfideBridge,2,#FF8C00,solid
Halogen,1,#FF69B4,dashed
Cyano,3,#4B0082,solid
Isocyano,2,#8A2BE2,solid
Isothiocyanate,2,#FF1493,solid
Thiocyanate,3,#00CED1,solid
