symbol,name,valence,color,radius,group_number,period
Na,Sodium,1,#AB5CF2,154,1,3
Mg,Magnesium,2,#8AFF00,130,2,3
P,Phosphorus,3,#FF8000,180,15,3
S,Sulfur,2,#FFFF30,180,16,3
Cl,Chlorine,1,#1FF01F,175,17,3
Ar,Argon,0,#80D1E3,188,18,3
K,Potassium,1,#8F40D4,227,1,4
Ca,Calcium,2,#3DFF00,197,2,4
Si,Silicon,4,#F0C8A0,211,14,3
Al,Aluminum,3,#BFA6A6,118,13,3
Fe,Iron,2,#E06633,156,8,4
Cu,Copper,1,#C88033,128,11,4
Zn,Zinc,2,#7D80B0,134,12,4
Br,Bromine,1,#A62929,114,17,4
Kr,Krypton,0,#4B76A7,202,18,4
Ag,Silver,1,#C0C0C0,144,11,5
Hg,Mercury,2,#B8B8D0,151,12,6
Pb,Lead,2,#575961,175,14,6
I,Iodine,1,#940094,133,17,5
Xe,Xenon,0,#429EB0,216,18,5
Ti,Titanium,4,#8FC99E,147,4,4
V,Vanadium,5,#FFA6A6,134,5,4
Cr,Chromium,3,#8A99C7,139,6,4
Mn,Manganese,2,#9C7AC7,139,7,4
Co,Cobalt,2,#F090A0,152,9,4
Ni,Nickel,2,#50D050,124,10,4
Ga,Gallium,3,#CC99FF,122,13,4
Ge,Germanium,4,#CC6666,122,14,4
As,Arsenic,3,#BD80E3,121,15,4
Se,Selenium,2,#FFA100,116,16,4
Rb,Rubidium,1,#C0FF40,248,1,5
Sr,Strontium,2,#FFFD98,215,2,5
Y,Yttrium,3,#94FFFF,180,3,5
Zr,Zirconium,4,#94E0E0,155,4,5
Nb,Niobium,5,#73C2C9,146,5,5
Mo,Molybdenum,6,#54B5B5,139,6,5
Tc,Technetium,7,#3B9E9E,136,7,5
Ru,Ruthenium,8,#248F8F,134,8,5
Rh,Rhodium,3,#0A7D8C,134,9,5
Pd,Palladium,2,#006985,137,10,5
Cd,Cadmium,2,#FFD98F,152,12,5
In,Indium,3,#CC66FF,144,13,5
Sn,Tin,4,#668080,139,14,5
Sb,Antimony,3,#9E63B5,139,15,5
Te,Tellurium,2,#D47A00,136,16,5
Cs,Cesium,1,#8D4C4C,267,1,6
Ba,Barium,2,#00C900,222,2,6
La,Lanthanum,3,#70D4FF,187,3,6
Ce,Cerium,3,#FFFFC7,182,4,6
Pr,Praseodymium,3,#D9FFC7,182,5,6
Nd,Neodymium,3,#C7FFC7,182,6,6
Pm,Promethium,3,#8FFFC7,180,7,6
Sm,Samarium,3,#61FFC7,180,8,6
Eu,Europium,3,#45FFC7,198,9,6
Gd,Gadolinium,3,#30FFC7,180,10,6
Tb,Terbium,3,#1FFFC7,178,11,6
Dy,Dysprosium,3,#00FF9C,177,12,6
Ho,Holmium,3,#00E675,176,13,6
Er,Erbium,3,#00D452,175,14,6
Tm,Thulium,3,#00BF38,174,15,6
Yb,Ytterbium,3,#00AB24,173,16,6
Lu,Lutetium,3,#008F0C,172,17,6
Hf,Hafnium,4,#4DC2FF,159,4,6
Ta,Tantalum,5,#4DA6FF,146,5,6
W,Tungsten,6,#2194D6,139,6,6
Re,Rhenium,7,#267DAB,138,7,6
Os,Osmium,8,#266696,135,8,6
Ir,Iridium,3,#175487,136,9,6
Pt,Platinum,2,#D0D0E0,139,10,6
Tl,Thallium,3,#A65BCC,156,13,6
Bi,Bismuth,3,#9E4FB5,170,15,6
Po,Polonium,2,#AB5C00,168,16,6
At,Astatine,1,#754F45,167,17,6
Rn,Radon,0,#428296,173,18,6
Fr,Francium,1,#420066,348,1,7
Ra,Radium,2,#007D00,283,2,7
Ac,Actinium,3,#70ABFA,188,3,7
Th,Thorium,4,#00BAFF,179,4,7
Pa,Protactinium,5,#00A1FF,161,5,7
U,Uranium,6,#008FFF,156,6,7
Np,Neptunium,7,#0080FF,155,7,7
Pu,Plutonium,8,#006BFF,159,8,7
